(all) fucked up	(total) im Arsch
tort	Schadensersatzrecht
tortoise	Landschildkröte
tortoise shell	Schildpatt
tortoises	Landschildkröten
torts	Schadensersatzrechte
tortuous	gewunden
tortuously	gewunden
tortuousness	Folterung
torture	Folter
torture chamber	Folterkammer
torture chambers	Folterkammern
torturechamber	Folterkammer
torturechambers	Folterkammern
tortured	folterte
torturer	Folterknecht
torturers	Folterknechte
tortures	Folterqualen
torturing	folternd
torus	Ring
tory	Tory
tosnub	anfahren
toss-up	Platzwahl
tossed	geknobelt
tosses	knobelt
tossing	knobelnd
tossup	Loswurf
tossups	Loswürfe
tot	Kerlchen
total	ganz
total account	Gesamtrechnung
total amount	Gesamtbetrag
total amounts	Gesamtsummen
total circulation	Gesamtauflage  einer Zeitung
total derivative	totale Ableitung  [math.]
total line	Summenzeile
total number of copies published	Gesamtauflage  eines Buches
total proceeds	Gesamtertrag
total receipts	Gesamteinnahme
totaled	zählte
totaling	summierend
totalitarian	totalitär
totalitarianism	totalitäres System
totalitarianisms	totalitäre Systeme
totalities	Gesamtheiten
totality	Gesamtheit
totalized	summierte
totalizer	Totalisator
totalizers	Totalisatoren
totalizes	summiert
totalizing	summierend
totally	vollkommen
totally unknown	wildfremd
totals	Endsummen
toted	trug
totems	Totems
toting	schleppend
tots	Knirpse
tottered	gewackelt
tottering	torkelnd
totteringly	torkelige
totters	torkelt
tottery	torkelig
touch	Berührung
touch key	Sensortaste
touch screen	Sensorbildschirm
touch sensitive switch	Kontaktschalter
touch system	Zehnfingersystem
touch-screen	Berührungsbildschirm
touchable	anfassbar
touchdown	erzielen
touched	angefasst
touched for	angepumpt
touches	befühlt
touchier	heikeler
touchiest	heikelste
touchily	empfindlich
touchiness	Empfindlichkeit
touching	anfassend
touching ans to the	anrührendes
touching for	anpumpend
touchingly	heikel
touchstone	Probierstein
touchstones	Probiersteine
touchy	empfindlich
tough	hartnäckig
toughened	machte zäh
toughening	zäh machend
toughens	macht zäh
tougher	Willensstärke
toughing	rührend
toughly	hart
toughness	Härte
toughs	Gauner
toupee	Toupet
toupees	Toupets
tour	Arbeitsschicht
toured	bereiste
touring	bereisend
touring car	Tourenwagen
touring companies	Wandertruppen
touring company	Wandertruppe
touring exhibition	Wanderausstellung
touring exhibitions	Wanderausstellungen
tourism	Fremdenverkehr
tourist	Tourist
tourist guide	Reiseleiter
tourist guides	Reiseleiter
tourist industries	Fremdenindustrien
tourist industry	Fremdenindustrie
tourist office	Fremdenverkehrsbüro
tourist offices	Verkehrsvereine
tourist parties	Reisegesellschaften
tourist party	Reisegesellschaft
tourist season	Reisezeit
tourist seasons	Reisezeiten
tourist traffic	Reiseverkehr
tourists	Touristen
tourneyed	turnierte
tourneying	turnierend
tours	Rundgänge
tousled	strubbelig
tousles	zaust
tousling	zausend
touted	warb
touting	werbend
touts	wirbt
tow	Werg
tow line	Schlepptau
tow rope	Abschleppseil
tow ropes	Abschleppseile
toward	fügsam
towards	gegen
towards evening	gegen Abend
towed	geschleppt
towed off	abgeschleppt
towel	Handtuch
toweled	getrocknet
toweling	trocknend
towelled	abgerieben
towelling	abreibend
towels	Handtücher
tower	Turm
towered	emporgeragt
towering	emporragend
toweringly	gewaltige
towers	Türme
towing	schleppend
towing off	abschleppend
towing rope	Zugseil
towing ropes	Zugseile
towline	Treidelleine
towlines	Treidelleinen
town	Stadt
town and country planning	Raumordnung
town council	Stadtrat
town councils	Stadträte
town halls	Rathäuser
town planning	Stadtplanung
town plannings	Stadtplanungen
townhall	Rathaus
townmajor	Stadtkommandant
townmajors	Stadtkommandanten
towns	Städte
townscape	Stadtbild
townscapes	Stadtbilder
townsfolk	Stadtleute
township	Bürgerschaft
townships	Gemeinden
townsman	Bürger
townsmen	Bürger
townspeople	Stadtbewohner
towpath	Leinpfad
towpaths	Leinpfade
towrope	Abschleppseil
tows	schleppt
toxic	giftig
toxical	giftig
toxically	giftig
toxicities	Giftstoffe
toxicity	Giftstoff
toxicological	toxikologisch
toxicologically	toxikologische
toxicologist	Toxikologe
toxicologists	Toxikologen
toxicology	Toxikologie
toxin	Gift
toxins	Gifte
toy	Spielzeug
toy dealer	Spielwarenhändler
toy dealers	Spielwarenhändler
toy fish	Zierfisch
toy pistol	Kinderpistole
toy pistols	Kinderpistolen
toy shop	Spielwarenhandlung
toy shops	Spielwarenhandlungen
toy train	Kindereisenbahn
toy trains	Kindereisenbahnen
toyed	gespielt
toys	Kinderspielzeug
Trabant	Trabant  (Auto)
trace	Einzelschritt-Fehlersuche
trace element	Spurenelement
trace elements	Spurenelemente
traceable	nachweisbar
traced	aufgespürt
traced out	trassierte
tracer	Ablaufverfolger
traces	Spuren
traces out	trassiert
trachea	Luftröhre
tracheae	Luftröhren
tracheotomies	Luftröhreschnitte
tracheotomy	Luftröhenschnitt
trachoma	Bindehautenzündung
tracing	Ablaufverfolgung
tracing file	Suchkartei
tracing files	Suchkarteien
tracing out	trassierend
tracing paper	Pauspapier
tracing service	Suchdienst
tracing services	Suchdienste
track	Fußspur
track	Piste
track	Bahnstrecke
track address	Spuradresse
track ball	Rollkugel
track density	Spurendichte
track description record	Spurkennsatz
track hound	Spürhund
track hounds	Spürhunde
track pitch	Spurenabstand
track railway	Schienenbahn
track railways	Schienenbahnen
track vehicle	Kettenfahrzeug
track vehicles	Kettenfahrzeuge
trackable	auffindbar
trackage	Schienen
tracked down	aufgestöbert
tracker	Aufspürer
trackers	Aufspürer
tracking	Nachführen
tracking down	aufstöbernd
tracks	Fährten
tracksuit	Trainingsanzug
tracksuits	Trainingsanzüge
tract	Gebiet
tractability	Lenkbarkeit
tractable	lenkbar
tractableness	Gefügigkeit
tractably	lenkbar
traction	Beförderung
tractive	Zug
tractive force	Zugkraft
tractive forces	Zugkräfte
tractor	Stachelrad
tractor margin	Führungsrand
tractors	Traktoren
tracts	Gebiete
trade	Beruf
trade agreement	Handelsabkommen
trade agreements	Handelsverträge
trade association	Berufsgenossenschaft
trade associations	Wirtschaftsverbände
trade barriers	Handelsschranken
trade control	Gewerbeaufsicht
trade cycle	Konjunkturzyklus
trade discount	Handelsrabatt
trade fair	Handelsmesse
trade in agricultural produce	Produktenhandel
trade journal	Fachzeitschrift
trade journals	Fachzeitschriften
trade licence	Gewerbeschein
trade licences	Gewerbescheine
trade margin	Handelsspanne
trade mark	Handelszeichen
trade mark right	Schutzrecht
trade mark rights	Schutzrechte
trade name	Markenname
trade names	Markennamen
trade price	Wiederverkaufpreis
trade prices	Wiederverkaufspreise
trade register	Handelsregister
trade relations	Handelsbeziehungen
trade representative	Handelsvertreter
trade representatives	Handelsvertreter
trade tax	Gewerbesteuer
trade taxes	Gewerbesteuern
trade union	gewerkschaftlich
trade unionist	Gewerkschaftler
trade unionists	Gewerkschaftler
trade usage	Handelsbrauch
trade-union	Gewerkschaft
trade-unionism	Gewerkschaftswesen
traded	gehandelt
trademark	Marke
trademarked	geschützt
trademarks	Handelsmarke
tradename	Warenzeichen
tradeoff	Tausch
trader	Händler
trades	handelt
tradesman	Geschäftsmann
tradesmen	Geschäftsleute
tradeunion	Gewerkschaft
tradeunionist	Gewerkschaftler
tradeunionists	Gewerkschaftler
trading	Handels...
trading area	Absatzgebiet
trading companies	Handelsgesellschaften
trading company	Handelsgesellschaft
trading stamp	Rabattmarke
trading year	Geschäftsjahr
tradition	Tradition
traditional	althergebracht
traditional costume	Tracht
traditionally	althergebrachte
traditions	Traditionen
traduced	verleumdete
traducement	Verleumdung
traducements	Verleumdungen
traduces	verleumdet
traducing	verleumdend
traffic	Autoverkehr
traffic	Fahrzeugverkehr
traffic accident	Verkehrsunfall
traffic accidents	Verkehrsunfälle
traffic announcement	Verkehrsdurchsage
traffic block	Verkehrshindernis
traffic blocks	Verkehrshindernisse
traffic census	Verkehrszählung
traffic censuses	Verkehrszählungen
traffic chaos	Verkehrschaos
traffic condition	Verkehrsverhältnis
traffic conditions	Verkehrsverhältnisse
traffic congestion	Stau
traffic constable	Verkehrsschutzmann
traffic constables	Verkehrsschutzmänner
traffic control	Verkehrssteuerung
traffic controls	Verkehrsregelungen
traffic densities	Verkehrsdichten
traffic density	Verkehrsdichte
traffic discipline	Verkehrsdisziplin
traffic instruction	Verkehrsunterricht
traffic island	Verkehrsinsel
traffic jam	Stau
traffic light(s)	Ampel  (Verkehrs-)
traffic news	Verkehrsmeldungen
traffic offence	Verkehrsdelikt
traffic offender	Verkehrssünder
traffic offenders	Verkehrssünder
traffic offense 	Verkehrsdelikt
traffic patrol	Verkehrsstreife
traffic patrol and ambulance	Unfallkommando
traffic police	Verkehrspolizei
traffic policeman	Verkehrspolizist
traffic policemen	Verkehrspolizisten
traffic regulation	Verkehrsregel
traffic regulations	Verkehrsordnung
traffic sign	Verkehrsschild
traffic signs	Verkehrsschilder
traffic system	Verkehrsnetz
traffic warden	Politesse
traffic wardens	Politessen
trafficked	gehandelt
trafficking	Handel
tragedian	Tragiker
tragedians	Tragiker
tragedies	Tragiken
tragedy	Tragik
tragic	tragisch
tragic actress	Tragödin
tragic actresses	Tragödinnen
tragic poet	Tragiker
tragic poets	Tragiker
tragical	tragisch
tragically	tragisch
tragicly	tragisch
tragicomedies	Tragikomödien
tragicomedy	Tragikomödie
tragicomic	tragikomisch
tragicomical	tragikomischen
tragicomically	tragikomische
trail	Nachlauf
trail of smoke	Rauchfahne
trailed	angehängt
trailer	Anhänger
trailer label	Dateiendekennsatz
trailers	Anhänger
trailing	verfolgend
trails	hängt an
train	Eisenbahn
train connection	Zugverbindung
train connections	Zugverbindungen
train ferries	Trajektschiffe
train ferry	Trajektschiff
train journey	Bahnfahrt
train journeys	Bahnfahrten
train of barges	Schleppzug
train of thought	Gedankengang
train of thoughts	Gedankengang
train oil	Fischtran
train oil of the whale	Waltran
train staff	Zugpersonal
trainable	lehrbar
trained	abgerichtet
trained horse	Schulpferd
trained horses	Schulpferde
trainee	Auszubildende
trainees	Auszubildenden
traineeship	Praktikum
trainer	Trainer
trainers	Trainer
training	Ausbildung
training center	Ausbildungszentrum
training course	Ausbildungslehrgang
training courses	Ausbildungslehrgänge
training schedule	Ausbildungsplan
training ship	Schulschiff
training ships	Schulschiffe
trainings	Ausbildungen
trains	Züge
trains of barges	Schleppzüge
traipse	latschen
traipsed	latschte
traipses	latscht
traipsing	latschend
trait	Charakterzug
traitor	Verräter
traitor of his country	Landesverräter
traitorous	verräterisch
traitorously	verräterische
traitors	Verräter
traitress	Verräterin
traitresses	Verräterinnen
traits	Charakterzüge
trajectories	Flugbahnen
trajectory	Flugbahn
tram	Bahn
trammeled	fesselte
trammeling	fesselnd
trammels	fesselt
tramp	Landstreicher
tramped	gestrolcht
tramping	trampend
trample	trampeln
trampled	getrampelt
trampled down	zerstampfte
tramples	trampelt
tramples down	zerstampft
trampling	Getrampel
trampling down	zerstampfend
trampoline	Trampolin
trampolines	Trampoline
tramps	Landstreicher
trams	Bahnen
tramway	Straßenbahn
tramways	Straßenbahnen
trance	Trance
trances	Trancen
tranquil	ruhig
tranquility	Ruhe
tranquilized	beruhigte
tranquilizes	beruhigt
tranquilizing	beruhigend
tranquillity	Beschaulichkeit
tranquillized	beruhigte
tranquillizer	Beruhigungsmittel
tranquillizers	Beruhigungsmittel
tranquillizes	beruhigt
tranquillizing	beruhigend
tranquilly	ruhig
tranquilness	Ruhe
tranquilnesses	Ruhen
transacted	abgewickelt
transacting	abwickelnd
transaction	Abwicklung
transaction processing	Dialogverarbeitung
transaction record	Änderungssatz
transaction-driven system	Teilhabersystem
transactions	Erledigungen
transacts	wickelt ab
transatlantic	transatlantisch
transborder	grenzüberschreitend
transceiver	Empfänger
transceiving	übermittelnd
transcended	überschreitete
transcendence	Erhabenheit
transcendences	Überlegenheiten
transcendency	Erhabenheiten
transcendent	überweltlich
transcendental	metaphysisch
transcendentalism	Transzendentalphilosophie
transcendentalist	Transzendentalist
transcendentalists	Transzendentalisten
transcendentally	metaphysisch
transcendently	metaphysische
transcending	überschreitend
transcends	überschreitet
transcoder	Codeumsetzer
transcribed	schrieb ab
transcriber	Umsetzeinrichtung
transcribes	schreibt ab
transcribing	abschreibend
transcript	Abschrift
transcription	Abschrift
transcriptions	Abschriften
transcripts	Abschriften
transducer	Absolutwertübertrager
transept	Querschiff
transepts	Querschiffe
transfer	Sprung
transfer (to)	Umbuchung  (Wirtschaft) (auf)
transfer cheque	Überweisungsscheck
transfer fee	Ablösesumme
transfer picture	Abziehbild
transfer pictures	Abziehbilder
transfer rate	Durchsatzrate
transfer signal	Übertragungssignal
transfer ticket	Umsteigebillett
transfer tickets	Umsteigebillette
transferability	Übertragbarkeit
transferable	übertragbare
transferably	übertragbar
transferal	Überweisung
transferals	Überweisungen
transfered	übertragen
transference	Übertragung
transferences	Übertragungen
transfering	übertragend
transferred	transferierte
transferring	übertragen
transfers	transferiert
transfersize	Übertragungslänge
transfiguration	Umgestaltung
transfigurations	Umgestaltungen
transfigured	umgestaltet
transfigures	gestaltet um
transfiguring	umgestaltend
transfixed	durchstach
transfixes	durchsticht
transfixing	durchstechend
transformable	umwandelbar
transformation	Abbildung   [math.]
transformations	Umbildungen
transformative	umformend
transformed	transformierte
transformer	Transformator
transformers	Transformatoren
transforming	transformierend
transforms	transformiert
transfrontier	grenzüberschreitend
transfused	goss um
transfuses	gießt um
transfusing	umgießend
transfusions	Transfusionen
transgressed	übergetreten
transgresses	überschreitet
transgressing	überschreitend
transgression	Überschreitung
transgressions	Übertretungen
transgressor	Missetäter
transgressors	Missetäter
transience	Vergänglichkeit
transiency	Vergänglichkeiten
transient	flüchtig
transient command	nicht residentes Kommando
transient error	vorübergehender Fehler
transiently	vorübergehend
transients	Durchreisenden
transistor	Transistor
transistorize	transistorisiere
transistorized	transistorisiert
transistorizes	transistorisiert
transistorizing	transistorisierend
transistors	Transistoren
transit	Durchgang
transit time	Durchgangszeit
transit trade	Transithandel
transition	Übergang
transition fit	Übergangspassung
transitional	vorübergehend
transitional period	Übergangszeit
transitional stage	Übergangsstadium
transitional stages	Übergangsstadien
transitionally	vorübergehende
transitions	Übergänge
transitive	transitiv
transitively	transitiven
transitorily	vorübergehend
transitoriness	Vergänglichkeit
transitory	vorbeigehend
transits	Durchgänge
translatable	übersetzbar
translated	übersetzt
translated into German	verdeutschte
translates	übersetzt
translating	Übersetzung
translating program	Übersetzerprogramm
translation	Besetzung
translation invariance	Translationsinvarianz  [math.]
translations	Übersetzungen
translator	Übersetzer
translators	Übersetzer
transliterate	transkribieren
transliterated	transkribierte
transliterates	transkribiert
transliterating	transkribierend
transliteration	Umschreibung
translucence	Lichtdurchlässigkeit
translucency	Durchsichtigkeiten
translucent	durchscheinend
translucently	durchsichtige
transmigrated	zog fort
transmigrates	zieht fort
transmigrating	fortziehenden
transmigration	Auswanderung
transmigrations	Auswanderungen
transmigratory	durchreisend
transmissibility	Übersendbarkeit
transmissible	übersendbar
transmission	Getriebe
transmission gearing	Übersetzungsgetriebe
transmission line	Überlandleitung
transmission lines	Überlandleitungen
transmission range	Sendebereich
transmission ranges	Sendebereiche
transmissionline	Koaxialleitug
transmissions	Übersetzungen
transmissive	übertragbaren
transmits	funkt
transmittable	übertragbar
transmittal	Einsendung
transmittals	Einsendungen
transmittance	Durchlässigkeitsgrad
transmitted	ausgesendet
transmitter	Sender
transmitters	Sendeanlagen
transmitting	funkend
transmitting station	Sendestation
transmitting stations	Sendestationen
transmutable	umwandelbar
transmutably	umwandelbare
transmutations	Umwandlungen
transmuted	umgewandelt
transmutes	verwandelt
transmuting	umwandelnd
transnational	grenzüberschreitend
transoceanic	überseeisch
transoceanic cable	Überseeleitung
transom	Querbalkon
transoms	Querbalkone
transonic	schallnah
transparence	Durchsichtigkeit
transparency	Durchsichtigkeiten
